Handle,Title,Body (HTML),Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Inventory Qty,Image Src
canvas-slip-ons,Canvas Slip-Ons,,Vastra,Sneakers,"unisex, slip-on, canvas, casual",Size,8,Color,White,699,30,"https://picsum.photos/seed/210/600/800.jpg"
canvas-slip-ons,Canvas Slip-Ons,,Vastra,Sneakers,"unisex, slip-on, canvas, casual",Size,9,Color,White,749,25,"https://picsum.photos/seed/210/600/800.jpg"
canvas-slip-ons,Canvas Slip-Ons,,Vastra,Sneakers,"unisex, slip-on, canvas, casual",Size,10,Color,White,799,20,"https://picsum.photos/seed/210/600/800.jpg"
chunky-sandals,Chunky Sandals,"<p>Cushioned footbed sandals with chunky moulded sole and adjustable hook-and-loop straps. All-day comfort with a modern silhouette.</p>",Vastra,Sneakers,"women, sandals, chunky, comfort",Size,6,Color,Black,599,25,"https://picsum.photos/seed/211/600/800.jpg"
chunky-sandals,Chunky Sandals,,Vastra,Sneakers,"women, sandals, chunky, comfort",Size,7,Color,Black,649,25,"https://picsum.photos/seed/211/600/800.jpg"
chunky-sandals,Chunky Sandals,,Vastra,Sneakers,"women, sandals, chunky, comfort",Size,8,Color,Black,699,20,"https://picsum.photos/seed/211/600/800.jpg"
chunky-sandals,Chunky Sandals,,Vastra,Sneakers,"women, sandals, chunky, comfort",Size,9,Color,Black,699,15,"https://picsum.photos/seed/211/600/800.jpg"
running-sports-shoes,Running Sports Shoes,"<p>Cushioned running shoes with EVA midsole and breathable knit upper. Reflective heel detail, lace-up closure, multi-surface rubber outsole.</p>",Vastra,Sneakers,"unisex, running, sports, performance",Size,7,Color,Orange,1199,20,"https://picsum.photos/seed/212/600/800.jpg"
running-sports-shoes,Running Sports Shoes,,Vastra,Sneakers,"unisex, running, sports, performance",Size,8,Color,Orange,1299,25,"https://picsum.photos/seed/212/600/800.jpg"
running-sports-shoes,Running Sports Shoes,,Vastra,Sneakers,"unisex, running, sports, performance",Size,9,Color,Orange,1299,25,"https://picsum.photos/seed/212/600/800.jpg"
running-sports-shoes,Running Sports Shoes,,Vastra,Sneakers,"unisex, running, sports, performance",Size,10,Color,Orange,1349,20,"https://picsum.photos/seed/212/600/800.jpg"
running-sports-shoes,Running Sports Shoes,,Vastra,Sneakers,"unisex, running, sports, performance",Size,11,Color,Orange,1399,15,"https://picsum.photos/seed/212/600/800.jpg"
flat-loafers,Flat Loafers,"<p>Slip-on flat loafers in soft synthetic leather. Padded footbed, low-profile sole, classic moccasin stitching at the toe.</p>",Vastra,Sneakers,"women, loafers, flat, formal-casual",Size,6,Color,Brown,799,20,"https://picsum.photos/seed/213/600/800.jpg"
flat-loafers,Flat Loafers,,Vastra,Sneakers,"women, loafers, flat, formal-casual",Size,7,Color,Brown,849,25,"https://picsum.photos/seed/213/600/800.jpg"
flat-loafers,Flat Loafers,,Vastra,Sneakers,"women, loafers, flat, formal-casual",Size,8,Color,Brown,849,20,"https://picsum.photos/seed/213/600/800.jpg"
flat-loafers,Flat Loafers,,Vastra,Sneakers,"women, loafers, flat, formal-casual",Size,9,Color,Brown,899,20,"https://picsum.photos/seed/213/600/800.jpg"
flat-loafers,Flat Loafers,,Vastra,Sneakers,"women, loafers, flat, formal-casual",Size,10,Color,Brown,899,15,"https://picsum.photos/seed/213/600/800.jpg"
