Handle,Title,Body (HTML),Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Inventory Qty,Image Src
distressed-slim-jeans-blue,Distressed Slim Jeans — Blue,,Vastra,Jeans,"men, denim, slim-fit, distressed, vintage",Size,34,Color,Blue,999,20,"https://picsum.photos/seed/104/600/800.jpg"
high-rise-mom-jeans-indigo,High-Rise Mom Jeans — Indigo,"<p>High-rise mom-fit jeans in deep indigo. Relaxed through the hip and thigh, tapered ankle, vintage-inspired silhouette with modern stretch comfort.</p>",Vastra,Jeans,"women, denim, mom-fit, high-rise, indigo",Size,28,Color,Indigo,799,25,"https://picsum.photos/seed/105/600/800.jpg"
high-rise-mom-jeans-indigo,High-Rise Mom Jeans — Indigo,,Vastra,Jeans,"women, denim, mom-fit, high-rise, indigo",Size,30,Color,Indigo,849,25,"https://picsum.photos/seed/105/600/800.jpg"
high-rise-mom-jeans-indigo,High-Rise Mom Jeans — Indigo,,Vastra,Jeans,"women, denim, mom-fit, high-rise, indigo",Size,32,Color,Indigo,899,20,"https://picsum.photos/seed/105/600/800.jpg"
wide-leg-jeans-washed-blue,Wide-Leg Jeans — Washed Blue,"<p>Wide-leg jeans in a soft washed-blue rinse. High-rise waist, flowy through the leg, slight crop above the ankle. Effortless casual statement.</p>",Vastra,Jeans,"women, denim, wide-leg, high-rise, washed",Size,28,Color,Washed Blue,949,20,"https://picsum.photos/seed/106/600/800.jpg"
wide-leg-jeans-washed-blue,Wide-Leg Jeans — Washed Blue,,Vastra,Jeans,"women, denim, wide-leg, high-rise, washed",Size,30,Color,Washed Blue,999,25,"https://picsum.photos/seed/106/600/800.jpg"
wide-leg-jeans-washed-blue,Wide-Leg Jeans — Washed Blue,,Vastra,Jeans,"women, denim, wide-leg, high-rise, washed",Size,32,Color,Washed Blue,1049,20,"https://picsum.photos/seed/106/600/800.jpg"
wide-leg-jeans-washed-blue,Wide-Leg Jeans — Washed Blue,,Vastra,Jeans,"women, denim, wide-leg, high-rise, washed",Size,34,Color,Washed Blue,1099,15,"https://picsum.photos/seed/106/600/800.jpg"
bootcut-jeans-dark-indigo,Bootcut Jeans — Dark Indigo,"<p>Slight bootcut jeans in dark indigo. Mid-rise, fitted through the thigh, gentle flare from the knee — a flattering classic.</p>",Vastra,Jeans,"men, denim, bootcut, dark-indigo",Size,30,Color,Dark Indigo,999,20,"https://picsum.photos/seed/107/600/800.jpg"
bootcut-jeans-dark-indigo,Bootcut Jeans — Dark Indigo,,Vastra,Jeans,"men, denim, bootcut, dark-indigo",Size,32,Color,Dark Indigo,1049,25,"https://picsum.photos/seed/107/600/800.jpg"
bootcut-jeans-dark-indigo,Bootcut Jeans — Dark Indigo,,Vastra,Jeans,"men, denim, bootcut, dark-indigo",Size,34,Color,Dark Indigo,1099,20,"https://picsum.photos/seed/107/600/800.jpg"
cropped-straight-jeans-black,Cropped Straight Jeans — Black,"<p>Cropped straight-leg jeans in solid black. Mid-rise, hits at the ankle, raw-edge hem. Pairs cleanly with sneakers or block heels.</p>",Vastra,Jeans,"women, denim, cropped, straight-fit, black",Size,28,Color,Black,699,25,"https://picsum.photos/seed/108/600/800.jpg"
cropped-straight-jeans-black,Cropped Straight Jeans — Black,,Vastra,Jeans,"women, denim, cropped, straight-fit, black",Size,30,Color,Black,749,25,"https://picsum.photos/seed/108/600/800.jpg"
cropped-straight-jeans-black,Cropped Straight Jeans — Black,,Vastra,Jeans,"women, denim, cropped, straight-fit, black",Size,32,Color,Black,799,20,"https://picsum.photos/seed/108/600/800.jpg"
